,Data
0,"Johnson to Kohli, 1 run Johnson returns with a 141kph delivery, pushed towards midwicket off the back foot"
1,"Johnson to Raina, 1 wide sprays this down the leg side, nearly 144kph that"
2,"Johnson to Raina, no run back of length ball, 148.5kph, Raina was waiting on the back foot, looks to send that to the leg side but can't connect, he was looking to force that one, not just guide it"
3,"Johnson to Raina, no run a leading edge this time, no real danger though it flies in the direction of cover, lands well short"
4,"Johnson to Raina, no run looks cramped as he defends that off the back foot to the leg side"
5,"Johnson to Raina, no run there's the Johnson short ball outside off, Raina was in no position to play the hook, he wafts at it (if an attempted hook can be called a waft), no connection"
6,"Johnson to Raina, 1 run short of length ball form round the wicket, 147.8, Raina tucks this towards midwicket for a single"
7,"McKay to Raina, 1 run length ball on off stump from McKay, Raina gently pushes this towards mid-off and sets off for a well-judged single"
8,"McKay to Kohli, 1 run length ball on legstump, clipped behind square leg"
9,"McKay to Raina, no run great-looking drive off the front foot from Raina, gets a good stride in as he punches that, can't beat the diving fielder at short cover"
10,"McKay to Raina, 3 runs this time the placement is better, Raina not looking to power this one, just guides it towards sweeper cover after taking a step down the track, sends it just out of reach of point"
11,"McKay to Kohli, no run shortish and on off stump, solid defence from Kohli"
12,"McKay to Kohli, no run McKay grunts as he bowls the final ball of his sixth over, full and wide outside off, Kohli drives that towards cover but can't pierce the field"
13,"Johnson to Raina, FOUR runs pitched up and on the pads, Raina likes it there, eases this off the front foot to the midwicket boundary, well timed and this outfield is very quick"
14,"Johnson to Raina, 2 runs a touch shorter this time, on legstump from round the wicket, Raina shuffles across and tucks that off his hip towards deep backward square leg"
15,"Johnson to Raina, 1 run from over the wicket this time, Raina looks ungainly as he works this short one outside off towards deep square leg"
16,"Johnson to Kohli, 1 run length ball from round the wicket, only 132kph this time, defended towards the off side"
17,"Johnson to Raina, OUT the short ball has done the job, Raina goes for the pull but that flies off the toe end of the bat towards slip, Johnson has got the breakthrough Australia brought him back for"
18,"Johnson to Yuvraj, OUT golden duck for Yuvraj! that was 148.6 kph from Mitchell Johnson, back of a length ball just outside off, Yuvraj fishes at that one well away from his body, nicks it through to the keeper, Johnson showing again just how dangerous he is with the white ball in the subcontinent"
19,"McKay to Kohli, no run McKay bowling his seventh over here, starts with a length ball that is defended off the front foot"
20,"McKay to Kohli, 1 run shortish and wide outside off, slapped towards sweeper cover for a single, think there was two there but Dhoni sends Kohli back, Dhoni seems to be having some trouble running here"
21,"McKay to Dhoni, no run Dhoni walks down the track and tucks the ball towards midwicket"
22,"McKay to Dhoni, no run again Dhoni walks across the stumps, works the ball from outside off towards midwicket"
23,"McKay to Dhoni, no run well outside off, length ball, Dhoni shoulders arms"
24,"McKay to Dhoni, no run well outside off from McKay, Dhoni moves across towards the ball and defends it towards cover"
25,"Johnson to Kohli, 1 run bowls this 144kph from round the wicket, worked towards midwicket"
26,"Johnson to Dhoni, no run Johnson greets Dhoni with a 147kph bouncer on leg stump, Dhoni ducks under just in time"
27,"Johnson to Dhoni, no run length ball on legstump, Dhoni goes back in the crease and nudges the ball towards square leg"
28,"Johnson to Dhoni, FOUR runs short of length ball angling across, Dhoni steps forward and drives that powerfully past point for four, Dhoni is off the mark"
29,"Johnson to Dhoni, no run fuller and on off stump, slower one as well, pushed towards mid-off by Dhoni"
30,"Johnson to Dhoni, 1 run quick short ball from Johnson, aimed at Dhoni's ribcage, Dhoni gets back in the crease and works the ball behind square leg"
31,"Faulkner to Dhoni, 1 run pitched up, Dhoni takes a couple of paces down the track and flicks it for an ambled single"
32,"Faulkner to Kohli, 1 run pitched up, turns it towards midwicket, Kohli wanted to push for two, Dhoni isn't interested"
33,"Faulkner to Dhoni, no run full ball on middle from Faulkner, pushed back towards the bowler off the front foot"
34,"Faulkner to Dhoni, no run back of length ball, 130kph, just outside off, Dhoni defends it towards point"
35,"Faulkner to Dhoni, no run fuller and that is tapped towards mid-off off the front foot"
36,"Faulkner to Dhoni, 1 run opens the face as he guides the ball from a middle-stump line towards point"
37,"Doherty to Dhoni, no run mild lbw appeal on the first ball from Doherty, from round the wicket, Dhoni was several yards down the track, that looked to be sliding down"
38,"Doherty to Dhoni, 1 run drives it inside-out towards deep extra cover for a single"
39,"Doherty to Kohli, 1 run shuffles towards leg and drives that towards long-off for one more"
40,"Doherty to Dhoni, no run pushed back towards the bowler"
41,"Doherty to Dhoni, no run length ball on middle and off, not much turn here for Doherty, more defence to the off side"
42,"Doherty to Dhoni, 1 run fuller and on off stump, driven towards long-off for the third single of the over"
43,"Faulkner to Dhoni, no run goes deep in the crease and guides that behind point for a single"
44,"Faulkner to Dhoni, no run full and outside off, crisply driven towards cover"
45,"Faulkner to Dhoni, no run outside off and that is left alone"
46,"Faulkner to Dhoni, no run short of length ball on middle and off, pushes it towards point, Dhoni nearly slips again as he is sent back when attempting a single"
47,"Faulkner to Dhoni, 2 runs length ball on the pads, whipped towards for a quick couple"
48,"Faulkner to Dhoni, 1 run fuller and outside off, eased towards extra cover"
49,"Doherty to Dhoni, 1 run on the pads, Dhoni takes several paces down the track and eases the ball towards long-on, easy single"
50,"Doherty to Kohli, 1 run dropped, that was a very thick edge though and Haddin hasn't enough time to react, strikes his right pad , good delivery from Doherty that spins just a bit"
51,"Doherty to Dhoni, no run"
52,"Doherty to Dhoni, no run works it to the right of the bowler"
53,"Doherty to Dhoni, no run pushed back towards the bowler"
54,"Doherty to Dhoni, no run opens the face as he drives that towards extra cover, end of a good over from Doherty"
55,"Faulkner to Kohli, 1 run back of length ball on off stump, guided off the back foot towards third man"
56,"Faulkner to Dhoni, 1 run pushes this towards extra cover for a single"
57,"Faulkner to Kohli, no run back of a length once more, waits in the crease for that legstump delivery, plays it to the off side"
58,"Faulkner to Kohli, 1 run short ball and that is firmly pulled away towards deep square leg, well in control as he played that, taking care to keep the ball on the ground"
59,"Faulkner to Dhoni, no run defended towards midwicket by Dhoni"
60,"Faulkner to Dhoni, 1 run short of length ball on off stump, Dhoni stays in the crease and pushes that towards sweeper cover"
61,"Doherty to Dhoni, no run steps down the track, but defends back towards the bowler"
62,"Doherty to Dhoni, 1 run fuller and on middle stump, worked towards long-on for a single"
63,"Doherty to Kohli, 1 run length ball on legstump, Kohli goes deep in the crease and nudges this behind square leg to bring up the 100"
64,"Doherty to Dhoni, 2 runs full and outside off, Dhoni reaches for that one and squeezes that towards deep point"
65,"Doherty to Dhoni, no run fuller ball on middle stump, Dhoni stretches forward to reach the pitch of the ball, defended down the track"
66,"Doherty to Dhoni, 1 run worked towards midwicket by Dhoni to end the over"
67,"Faulkner to Dhoni, 1 run short of length ball on off stump, opens the face as he sends the ball towards deep point"
68,"Faulkner to Kohli, no run short of length ball on off stump, steered towards backward point"
69,"Faulkner to Kohli, 1 run short of length ball on the pads, easy to tap that towards square leg"
70,"Faulkner to Dhoni, 1 run a touch short and that is on leg stump, Dhoni helps that along towards deep backward square leg"
71,"Faulkner to Kohli, no run solid in defence as that is pitched up by Faulkner"
72,"Faulkner to Kohli, no run length ball is defended towards midwicket"
73,"Doherty to Dhoni, 1 run length ball on middle, Dhoni again taking a couple of paces down the track, eases the ball towards long-on"
74,"Doherty to Kohli, no run solid forward-defensive towards cover"
75,"Doherty to Kohli, no run fuller ball on middle, more defence, off the middle of the bat but there's loud lbw appeal"
76,"Doherty to Kohli, no run Kohli skips down and unleashes a fierce straight drive, but Doherty manages to get a hand on that"
77,"Doherty to Kohli, 1 run drives it inside-out towards long-off"
78,"Doherty to Dhoni, 1 run too short from Doherty, but he gets away with it, Dhoni slaps that towards deep point"
79,"Watson to Dhoni, 1 run Watson returns, on the pads, worked towards deep midwicket"
80,"Watson to Kohli, 2 runs powerfully struck towards sweeper cover, Dhoni's leg doesn't seem to be giving him too much trouble as he races back for the second"
81,"Watson to Kohli, no run short ball outside off, easy leave"
82,"Watson to Kohli, FOUR runs down the leg side, easy for Kohli to put that away, just glances that past the keeper for four"
83,"Watson to Kohli, 1 run length ball outside off, guided down towards third man for a single"
84,"Watson to Dhoni, no run back of length ball outside off, defended towards point"
85,"Doherty to Kohli, 1 run full ball is driven towards long-on for an ambled single"
86,"Doherty to Dhoni, 1 run sends this towards cow corner"
87,"Doherty to Kohli, 2 runs the uber-consistent Kohli gets another half-century, waits on the back foot and chops that towards point"
88,"Doherty to Kohli, no run waits for the ball to arrive and steers the ball towards backward point"
89,"Doherty to Kohli, 2 runs full ball on the pads, whipped behind square leg"
90,"Doherty to Kohli, no run on off and middle stump, Kohli backs away from the stumps and pokes the ball towards point"
91,"Watson to Dhoni, 2 runs worked behind square leg for a couple, this time Dhoni seems to be limping a bit, not quite full recovered from that problem he picked up early in this innings"
92,"Watson to Dhoni, 2 runs short and wide outside off, powered towards deep point to bring up the 50-run stand"
93,"Watson to Dhoni, 1 run back of a length outside off, guided towards point"
94,"Watson to Kohli, no run length ball just outside off, defended towards cover off the front foot"
95,"Watson to Kohli, 1 run short of length ball outside off, guided down towards third man for a single"
96,"Watson to Dhoni, 1 run shortish ball outside off, pulled away towards deep square leg"
97,"Doherty to Dhoni, 1 run nearly gone there, Dhoni charges down thtrack and looks for the big hit towards long-on, thick inside-edge sends the ball towards short fine leg"
98,"Doherty to Kohli, no run goes well back in the crease and defends to the right of the bowler, a diving stop from Doherty"
99,"Doherty to Kohli, FOUR runs beautiful from Kohli, that inside-out shot that was such a feature of his hundred in Jaipur, making some room and lofts this on the up towards deep extra cover"
100,"Doherty to Kohli, no run defended to the off side"
101,"Doherty to Kohli, 1 run opens the face as he guides that towards point"
102,"Doherty to Dhoni, no run length ball on middle and leg, defended to the leg side"
103,"Voges to Kohli, 1 run Adam Voges starts with a juicy loopy full toss, he's really lucky that isn't put away, Kohli can only get a single towards sweeper cover"
104,"Voges to Dhoni, no run a dart this time from Voges, defended off the front foot"
105,"Voges to Dhoni, 1 run full and just outside off, driven towards long-off"
106,"Voges to Kohli, no run full ball is carefully defended by Kohli"
107,"Voges to Kohli, 1 run once again Voges gets away with a poor ball, that was quite short, plenty of time for Kohli to rock back and put it away, he slaps it towards deep extra cover"
108,"Voges to Dhoni, no run flatter and fuller, tapped towards midwicket"
109,"Doherty to Kohli, 1 run exposes the stumps as he backs away and cracks the ball towards point"
110,"Doherty to Dhoni, no run the helmet comes off for Dhoni as two spinners are playing, defended off the back foot towards mid-off"
111,"Doherty to Dhoni, 1 run clipped off the back foot towards square leg for a single"
112,"Doherty to Kohli, no run sliding down the leg side, Kohli looking to clip that towards midwicket, misses and is hit on the pads"
113,"Doherty to Kohli, no run a firm drive towards cover off the front foot"
114,"Doherty to Kohli, 1 run defended towards cover for a single"
115,"Maxwell to Kohli, 1 run way outside leg stump, worked towards midwicket, no time to come back for the second"
116,"Maxwell to Dhoni, 1 run length ball from round the wicket, stays back in the crease and tucks the ball towards square leg"
117,"Maxwell to Kohli, FOUR runs well outside off, Kohli has to stretch to reach that, it wasn't too short either, still Kohli waits on the back foot and powers that past cover for four"
118,"Maxwell to Kohli, OUT and Maxwell has done it, the massive wicket of Kohli who is dismissed for 68, Kohli gets on the front foot initially, then gets back and looks to power the ball through off, outside off and a thin edge through to the keeper, Kohli is frustrated at having given it away, India's lower order has a big task on their"
