,Data
0,"5.15pm England win the toss and bowl, no real surprise there. Tim Bresnan has a sore elbow so misses out and England play both James Tredwell and Samit Patel. No rest for either Stuart Broad or James Anderson. Still no game for Woakes, either."
1,"Anderson to Wade, no run outside off, hint of movement back into the batsman and it's left alone"
2,"Anderson to Wade, 1 run fuller on off stump, driven firmly down the ground to the off side and but mid-off is quite straight"
3,"Anderson to Warner, no run pushed across and left alone"
4,"Anderson to Warner, no run a touch wider outside off and he shoulders arms"
5,"Anderson to Warner, no run pitched up fuller, Warner comes forward and pushes towards mid-off"
6,"Anderson to Warner, no run good line outside off stump and he opts not to play again"
7,"Finn to Wade, no run what a beauty to start with...full outside off and it draws Wade forward who then plays and misses with a drive"
8,"Finn to Wade, no run and again! Beaten two in two. Some pace on that from Finn as Wade launches into a drive and the ball beats the edge"
9,"Finn to Wade, no run full on middle and off, gets a good stride in and blocks to mid-off"
10,"Finn to Wade, no run back of a length and this one nips back into the left hander who is taken at the top of the pads"
11,"Finn to Wade, 1 run this jars the splice as Wade plays it towards square leg and takes one hand off the bat"
12,"Finn to Warner, no run dragged a little short and wide but Warner can't take advantage as he flashes and misses at a cut"
13,"Anderson to Wade, no run a cracker...completely squares up Wade as this swings in then seams away past the outside. Almost too good"
14,"Anderson to Wade, no run full on middle and off, searching stuff from Anderson, Wade presses forward and defends"
15,"Anderson to Wade, no run full outside off, carries through at ankle height to Kieswetter"
16,"Anderson to Wade, no run short of a length at the body, Wade defends a touch awkwardly off the back foot"
17,"Anderson to Wade, no run how do you play that? Beats the outside edge again with late movement from a full length and Wade is left prodding"
18,"Anderson to Wade, no run squared up by a ball starting around leg stump that he tried to work through the on side and a leading edge rolls into the off side"
19,"Finn to Warner, 1 wide extravagant seam movement and bounce as Warner is beaten playing another cut...but it's a fraction too wide"
20,"Finn to Warner, no run now beaten on the front foot by a full delivery...this is fantastic bowling"
21,"Finn to Warner, FOUR runs finally, they get one away and it's a very pleasing drive from Warner as he punches a full delivery straight past mid-off"
22,"Finn to Warner, no run wider outside off stump"
23,"Finn to Warner, 1 run whipped away from middle and leg down to long leg"
24,"Finn to Wade, no run very full, yorker-length on the popping crease, squeezed out to the off side"
